rows 130, cols 130
(42, 105) has been seen 2 times
(40, 105) has been seen 2 times
(37, 105) has been seen 2 times
(32, 105) has been seen 2 times
(26, 105) has been seen 2 times
(25, 109) has been seen 2 times
(25, 110) has been seen 2 times
(26, 119) has been seen 2 times
(51, 119) has been seen 2 times
(54, 114) has been seen 2 times
(54, 112) has been seen 2 times
(52, 112) has been seen 2 times
(52, 114) has been seen 2 times
(54, 116) has been seen 2 times
(56, 116) has been seen 2 times
(93, 114) has been seen 2 times
(84, 107) has been seen 2 times
(63, 112) has been seen 2 times
(63, 114) has been seen 2 times
(63, 116) has been seen 2 times
(63, 118) has been seen 2 times
(56, 118) has been seen 2 times
(54, 118) has been seen 2 times
(51, 118) has been seen 2 times
(26, 118) has been seen 2 times
(25, 118) has been seen 2 times
(20, 124) has been seen 2 times
(96, 114) has been seen 2 times
(96, 100) has been seen 2 times
(88, 96) has been seen 2 times
(84, 96) has been seen 2 times
(64, 96) has been seen 2 times
(58, 98) has been seen 2 times
(58, 100) has been seen 2 times
(73, 100) has been seen 2 times
(73, 96) has been seen 2 times
(73, 95) has been seen 2 times
(73, 93) has been seen 2 times
(73, 91) has been seen 2 times
(73, 88) has been seen 2 times
(73, 84) has been seen 2 times
(73, 82) has been seen 2 times
(73, 80) has been seen 2 times
(70, 78) has been seen 2 times
(68, 78) has been seen 2 times
(64, 78) has been seen 2 times
(55, 78) has been seen 2 times
(52, 78) has been seen 2 times
(49, 78) has been seen 2 times
(47, 78) has been seen 2 times
(46, 84) has been seen 2 times
(46, 88) has been seen 2 times
(46, 95) has been seen 2 times
(46, 98) has been seen 2 times
(46, 100) has been seen 2 times
(46, 102) has been seen 2 times
(46, 105) has been seen 2 times
(48, 105) has been seen 2 times
(46, 103) has been seen 2 times
(45, 103) has been seen 2 times
(42, 103) has been seen 2 times
(40, 103) has been seen 2 times
(37, 103) has been seen 2 times
(32, 103) has been seen 2 times
(26, 103) has been seen 2 times
(22, 103) has been seen 2 times
(14, 103) has been seen 2 times
(5, 103) has been seen 2 times
(7, 110) has been seen 2 times
(5, 105) has been seen 2 times
(4, 105) has been seen 2 times
guard pos 0, 105
row (0)   ....#.................#......................#..........................#..................#....##..#....^......#.................
row (1)   ...................................#...............................#......#..#...........................X...#....................
row (2)   ..........................#................#......##.....#.....................................#.........X.....#..#...............
row (3)   ..........................XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#.X........................
row (4)   ...................#....#.X.......................#..............#.....#..............................XXXXXXXXXXXXXXXXXXXXXXXX#...
row (5)   .....#.............XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#.............X....
row (6)   ...................X......X..............................#....................#..#............#.......XX.X....X#.............X....
row (7)   ..............#....X......X...#..........................XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#....XX#XXXXXXXXXXXXXXXXXXXXX....
row (8)   .........#.....#...X...#..X...#.......................#..X..........#..#........#.......#.......X....#XX.....#X...#..#.......#....
row (9)   ...................X....#.X..#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#...#.#............X.....XX.....XXXXXXXXXXXXXXXX#....
row (10)  ...................X.....#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.#...XX.....XX.........#...X.....
row (11)  .#..........#...#..X..........X.#..................#...#.X....#.............X...................#.....XX.....XX......#......X#....
row (12)  ...................X..........X.XXXXXXXXXXXXXXXXXXXXXXXXXXXX#......#........X.........................XX.....XX.............X#....
row (13)  ...................X...#...#..X.X.............#.#........X.X..#.............X........#.............#..XX.....XX.............X.....
row (14)  ...................X..........X.X.............XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#XX.......#.....X.....
row (15)  ....#..............X...###....X.X.#...........X..........X.X....#.#.........X..........#..........#...XX...X.XX.........#...X.....
row (16)  ...................X....XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#.....XX...X.XX.........#.#.X.....
row (17)  ...................X....X.....X.X.............X..........X.X..............#.X......#...#.......X......XX.#.X.XX..#..........X.....
row (18)  ...................X....X.#.#.X#X#............X..........X.X................X....#..........#..X......XX...X.XX............#X.....
row (19)  ..............#....X...#X#....X.X........#....X..........X.X..........#.....X....#.............X......XX...X.XX.......#.....X..#.#
row (20)  #.............XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#..XX...X.XX#......XXXXXXXXXX#.
row (21)  ..............X....X....X.....X.X.............X#.........X.X................X...........#......X..X...XX...X.XX.......X...#.X..X..
row (22)  .....#..#.....X#...X...#X.....X.X.....#.......X#........#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.XX.....#.X.....X..X..
row (23)  .......#......X...#X....X.#.#.X.X.......#.....X..........#.X................X..................X..X...XX...#.XX.......X.....X..X..
row (24)  ....#.....#...X....X....X.#...X#X......#...#..X............X................X..................X..X...XX.#...XX.......X.....X#.X..
row (25)  ..........XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#.X..#.......#.X................X.............#....X.#X...XX.XXXXXXXXXXXXXXX#...X.#X..
row (26)  ..........X...X....X.#..X.....X.X..........X..X..........#.X..#.............X..................X.XXXXXXXXXXXXXXXXXXXXXXXXX#.X..X..
row (27)  ..#.......X...X....X....X.....X.X#.........X.#XXXXXXXXXXXXXX.............#..X..................X.XX...XX.X.#.XX.......XX.X..X..X..
row (28)  ........#.X...X....X....X.....X.XXXXXX##...X...............#................X....#.............X.XX...XX.X...XX.......XX.X..X..X..
row (29)  ..........X...X.#.#X#...X..#..X.XX...X.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#X..###.........#...X#XX...XX.X...XX.......XX.X..X..X..
row (30)  .......#..X...X....X.#..X.....X.XX.#.X.X...X...#..#.......................X.X.....#............X.XX...XX.X...XX......#XX.X.#X..X.#
row (31)  .....#...#X...X..#.X.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#..............X.X.............#....X.XX...XX.X...XX....#..XX.X..X..X.#
row (32)  ..........X...X....X.X..X.....X.XX...X.X...X...#.....#....X...............X.X.............XXXXXXXXXXXXXXXXXXXXXXXXXX#.XX.X..X..X..
row (33)  .........#X...X....X.X..X.....X.XX...X.X...X.....#........X..............#X.X........#....X....X.XX...XX.X...XX....X..XX.X..X..X..
row (34)  .........XXXXXXXXXXXXXX#X....#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.X......#......X....X.XX...XX.X...XX....X..XX#X..X..X..
row (35)  .........XX...X....X.XX.X....#..XX...X.X...X........#.....X...............#.X............#X.#..X.XX...XX.X...XX....X#.XX.X..X..X..
row (36)  ......#..XX...X....X.XX.X.......XX...X.X...X.#.......#....X................#X....#........X..#.X.XX...XX#X...XX....X..XX.X..X.#X..
row (37)  ......XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#..XXXXXXXXXXXXXXXXXX#....X..#....#.....X.#..X#XXXXXXXXXXXXXXXXXXX..XX.X..X..X..
row (38)  ......X..XX...X....X.XX.X.......XX...X#X...X.#...X...X#...X.#.........X.....X.......XXXXXXXXXXXXXXXXX#XX.X...XX....#..XX.X..X..X..
row (39)  #.....X..XX...X....X.XX#X#......XX...X.X#..X..#..X...X..#.X...........X.....X.......X...#.X....X..X.X.XX.X...XX.......XX#X..X..X..
row (40)  #.....X#.XX...X....X.XX#X.......XX...X.X...X.....X...X....X...........X.....X.......X...XXXXXXXXXXXXXXXXXXXXXXXXX#..#.XX.X..X..X..
row (41)  .#....X..XX...X....X.XX.X.......XX...X.X...X....#X...X....X.......#...X...#.X.......X...X.X....X..X.X.XX.X...XX.X.....XX.X..X..X..
row (42)  ...#..X..XX#..X..#.X.XX.X......#XX...X.X...X.....X...X....X...........X...XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#..XX.X..X..X..
row (43)  ......X..XX...X....X.XX.X.#.....XX.#.X.X...X#....X...X....X...........X...X.X.....#.X...X.X....X..X.X.XX.X.#.XX.X.X...XX.X#.X#.X..
row (44)  ......X#.XX...X...#X.XX.X.#.....XX...X.X...X.....X...X....X...........X...X.X.#.##..X..#X#X....X..X#X.XX#X...XX.X.X...XX.X#.X..X..
row (45)  ..##..X..XX...X....X.XX#X.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#......X...X.X.#.#...X...X#XXXXXXXXXXXXXXXXXXXXX.X.X...XX.X..X..X..
row (46)  #.....X.#XX...X....X.XX#X.X.....XX.#.X.X.#.X..#..X.#.X....X...X.#.....X..#X.X.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#X#.X.X...XX#X..X..X..
row (47)  ......X..XX...X...#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.X.X.X..X.X...XX.X#.X..X..
row (48)  ......X..XX...X......XX.X.X.#...XX...X#X...X.....X...X....X#..X.......X...X.X.X.....X...X..#...X..X.X.#XXXXX.X..X.X...XX.X..X..X..
row (49)  ......X..XX..#X......XX.X.X.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#X...X#.....X..X.X....X.#.X..X.X...XX.X..X..X..
row (50)  ...#..X#.XX...X.....#XXXXXXXXXXXXXXXXXXXXXXX...#.X...X....X...X.......X...X.X.X...X.X...X.#....X..X.X....X...X..X.X...XX.X..X..X..
row (51)  ..#...XXXXXXXXXX#.#...X.X.X.X...XX...X.X...#...#.X...X....X...X.......X#..X.X.X..#X.X...X......X..X.X.##.X..#XXXXXXXXXXXXX..X..X..
row (52)  ......XX.XX...XX..XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#XXXXXXXXX#XX.#..X..X..
row (53)  ......XX.XX...XX..X...X.X.X.X#.#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX...X.X.X...X.X...X......X..X.X....XX.X...X.X.X.XX..#.X..X..
row (54)  ......XX.XX...XX..X.#.X.X.X.X....X...X.X.....#.#.X...X#...X...X.......#...X.X#X...X.X...X......X..X.X....XX#XXXXXXXXXXXX....X..X..
row (55)  ....#.XX#XX...XX#.X...X.X.X.X....X.#.X.X.......XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#X..X.X....XX.....X.X.X.X#....X..X..
row (56)  .#....XX.XX..#XX..X...X.X.X.X....X...X.X.......X.X...X....X.#.X...........X.X.X...X.X...X....X.X..X.X...#XXXXXXXXXXXXXXXXXXXX..X..
row (57)  ......XX.XX...XX..X...X.X.X.X.#..X...X.X..#....X.X...X....X...X...........X.X.X...X.X.#.X....X.X#.X.X.....X.....X.X.X.X.....#..X.#
row (58)  ......XX.XX.#.XX..X.#.X.X.X#X...#X...X.X.......X.X...X....X...X...........X.X.X...X.X...X....X.XXXXXXXXX#.X.....X.X.X.X........X..
row (59)  ......XX.XX.XXXXXXXXXXXXXXXXXXXXXXXXXXXXX#...#.X.X...X....X...X.#.........X.X.X...X#X...X....X.XX.X.X..X..X.....X.X.X.X..#.....X..
row (60)  ......XX.XX.X.XX#.X...X.X.X.X....X.#.X.XX...#XXXXXXXXXXXXXXXXXXXXXXXXX#...X.X.X...X.X...X.#..X.XX.X.X..X..X.....X.X.X.X........X.#
row (61)  ......XX.XX.X.XX..X...X.X.X.X....X...X.XX....X.X.X...X....X.#.X...#..X....X#X.X...X.X...X....X.XX.X.X..X..X.....X.X.X.X........X..
row (62)  ......XX.XX.X.XX..X...X.X.X.X.#..X...X.XX..#.X.X.X...X....X...X......X....X.X.X...X.X#..X....X.XX.X#X..X..X#..#.X.X.X.X........X..
row (63)  ...#..XX.XX.X.XX#.X...X.X.X.X....X...X.XX....X.X.X...X....X...X......X....X.X.X...X.X...X#...X.XX.X.X..X..XXXXXXXXXXXXXXXXXX#..X.#
row (64)  ......XX.XX.X.XX..X...X.X.X.X.#..X...X#XX....X.X.X..#XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX.X.#X..XX....X.X.X.X....X...X..
row (65)  .....#XX.XX.X.XX..X...X.X.X.X....X...X.XX....X.X.X.....#..X...X...#..X....X.X.X...X.X...X....X.XX.#.X##X..XX....X.X.X.X....X...X.#
row (66)  ......XX.XX.X#XX..X...X.X.X.X....X...X.XX....X.X.X........X...X......X.#..X.X.X...X.X...X....X.XX...X#.X#.XX....X.X.X.X#...X...X#.
row (67)  ......XX.XX.X.XX..X.#.X.X.X.X....X..#X.XX....X.X.X........X...X......X....X.X.X...X.X...X....X.XX...X..X..XX....X.X.X#X...#X...X.#
row (68)  ......XX#XX.X#XX#.X...X.X.X.X....X..XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX#X.XX...X..X..XX.#..X.X.X.X....X#..X..
